On ^in++++=ON
A ^at++++=A
critical ^jj+atrb+++=critical
review ^nn++++=review
of ^in++++=of
various ^jj+atrb+++=various
studies ^nns++++=studies
concerning ^in++++=concerning
the ^ati++++=the
two ^cd++++=two
models ^nns++++=models
and ^cc++++=and,
, ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
of ^in++++=of
recent ^jj+atrb+++=recent
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
concerning ^in++++=concerning
the ^ati++++=the
interaction ^nn+nom+++=interaction
of ^in++++=of
Homo ^np+++??+=Homo
sapiens ^nns+++??+=sapiens
and ^cc++++=and
Homo ^np+++??+=Homo
neanderthalensis ^nns+++??+=neanderthalensis
( ^zz++++=(Caramelli
caramelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Gibbons ^np++++=Gibbons,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Kahn ^np+++??+=Kahn
Kahn ^np+++??+=Kahn
& ^zz++++=&
Gibbons ^np++++=Gibbons,
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Ovchinnikov ^np+++??+=Ovchinnikov
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
reveal ^vb+vprv+++=reveal
that ^tht+vcmp+++=that
while ^cs+sub+++=while
both ^abx++++=both
models ^nns++++=models
are ^vb+ber+vrb++=are
far ^rb+pl+++=far
too ^ql++++=too
simplistic ^jj++++=simplistic
a ^at++++=a
pattern ^nn++++=pattern
closer ^rbr++++=closer
to ^in++++=to
Replacement ^nn+nom+++=Replacement
is ^vbz+bez+vrb++=is
more ^rbr++++=more
likely ^jj+pred+++=likely.
. ^zz++++=EXTRAWORD
Defining ^vbg+++xvbg+=DEFINING
The ^ati++++=THE
Two ^cd++++=TWO
Models ^nns++++=MODELS:
: ^zz++++=EXTRAWORD
The ^ati++++=The
Multiregional ^np+nom++??+=Multiregional
model ^nn++++=model
of ^in++++=of
evolution ^nn+nom+++=evolution,
, ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
most ^ap+emph+++=most
basic ^jj++++=basic
from ^in+strn+++=from,
, ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
the ^ati++++=the
since ^cs+sub+++=since
the ^ati++++=the
original ^nn++++=original
spread ^vbd+++xvbn+=spread
of ^in++++=of
H ^zz++++=H.
. ^zz++++=EXTRAWORD
erectus ^nns+++??+=erectus
out ^rp+pl+++=out
of ^in++++=of
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
1.7 ^cd++++=1.7-mya
- ^zz++++=EXTRAWORD
mya ^nn+++??+=EXTRAWORD
( ^zz++++=(million
million ^cd++++=EXTRAWORD
years ^nns++++=years
ago ^rb++++=ago),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
' ^zz++++='human'
human ^jj++++=EXTRAWORD
' ^zz++++=EXTRAWORD
population ^nn+nom+++=population
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
one ^cd1++++=one
large ^jj+atrb+++=large
interbreeding ^jj+atrb++xvbg+=interbreeding
mass ^nn++++=mass
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
population ^nn+nom+++=population
slowly ^rb++++=slowly
evolved ^vbd+++xvbn+=evolved
into ^in++++=into
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
consider ^nn+nom+++=consider
modern ^jj+atrb+++=modern
humans ^nns++++=humans
with ^in++++=with
no ^at++++=no
side ^nn++++=side
branching ^vwbg+++xvbg+=branching
or ^cc++++=or
distinct ^jj+atrb+++=distinct
speciation ^nn+nom+++=speciation
events ^nns++++=events
occurring ^vwbg+++xvbg+=occurring
in ^in++++=in
Eurasia ^np+++??+=Eurasia,
, ^zz++++=EXTRAWORD
Australasia ^np+++??+=Australasia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Africa ^np++++=Africa
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Templeton ^np+++??+=Templeton,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Naturally ^rb+cnj+++=Naturally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
model ^nn++++=model
dictates ^nns+nom+++=dictates
that ^cs+sub+++=that
the ^ati++++=the
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
and ^cc++++=and
geographical ^jj+atrb+++=geographical
distances ^nns+nom+++=distances
between ^in++++=between
all ^abn++++=all
populations ^nns+nom+++=populations
of ^in++++=of
humans ^nns++++=humans
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
enough ^qlp++++=enough
to ^to++++=to
genetically ^rb++splt++=genetically
isolate ^nn+nom+++=isolate
them ^pp3o+pp3+++=them
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
modern ^jj++++=modern
human ^jj++++=human
form ^vb++++=form
evolved ^vbd+++xvbn+=evolved
simultaneously ^rb+tm+++=simultaneously
across ^in+pl+++=across
the ^ati++++=the
entire ^jjb++++=entire
old ^jj++++=old-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
( ^zz++++=(Templeton,
templeton ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Milford ^np++++=Milford
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
Michigan ^np+nom+++=Michigan,
, ^zz++++=EXTRAWORD
originally ^rb+tm+++=originally
proposed ^jj+++xvbn+=proposed
this ^dt+dem+++=this
model ^nn++++=model
based ^vwbn+++xvbn+=based
solely ^rb++++=solely
upon ^in++++=upon
archeological ^jj+atrb+++=archeological
and ^cc+phrs+++=and
morphological ^jj+atrb+++=morphological
evidence ^nn+nom+++=evidence
( ^zz++++=(Lahr,
lahr ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Since ^in++++=Since
the ^ati++++=the
models ^nns++++=models
incarnation ^nn+nom+++=incarnation,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
researchers ^nns+nom+++=researchers
have ^vb+hv+aux++=have
forwarded ^vprf+++xvbnx+=forwarded
limited ^vbd+++xvbn+=limited
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
and ^cc++++=and
some ^dti++++=some
new ^jj+atrb+++=new
morphological ^jj+atrb+++=morphological
evidence ^nn+nom+++=evidence
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
model ^nn++++=model
( ^zz++++=(Hawks
hawks ^nns+++??+=EXTRAWORD
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Templeton ^np+++??+=Templeton,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
research ^nn++++=research,
, ^zz++++=EXTRAWORD
done ^xvbn+++xvbn+=done
by ^in++++=by
Vinayak ^np+++??+=Vinayak
Eswaran ^np+++??+=Eswaran,
, ^zz++++=EXTRAWORD
into ^in++++=into
population ^nn+nom+++=population
dynamics ^nn++++=dynamics
may ^md+pos+++=may
also ^rb++splt++=also
support ^vb++++=support
a ^at++++=a
multiregional ^jj++++=multiregional-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
model ^nn++++=model
though ^cs+sub+++=though
Eswaran ^np++++=Eswaran's
's ^$++++=EXTRAWORD
model ^nn++++=model
is ^vbz+bez+vrb++=is
more ^rbr++++=more
complex ^jj+pred+++=complex
then ^rn+tm+++=then
Wolpoff ^np++++=Wolpoff's
's ^$++++=EXTRAWORD
( ^zz++++=(Eswaran,
eswaran ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Contrary ^in+cmpx+++=Contrary
to ^in++++=to
Multiregionalism ^np+nom++??+=Multiregionalism
is ^vbz+bez+vrb++=is
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
model ^nn++++=model
dictates ^nns+nom+++=dictates
that ^dt+dem+++=that
after ^in++++=after
H ^zz++++=H.
. ^zz++++=EXTRAWORD
erectus ^nns+++??+=erectus'
' ^zz++++=EXTRAWORD
initial ^jj+atrb+++=initial
expansion ^nn++++=expansion
into ^in++++=into
the ^ati++++=the
new ^jj+atrb+++=new
world ^nn++++=world,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
form ^nn++++=form
of ^in++++=of
hominids ^nn++++=hominids
evolved ^vbd+++xvbn+=evolved
in ^in++++=in
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
( ^zz++++=(sometimes
sometimes ^rb++++=EXTRAWORD
written ^jj+++xvbn+=written:
: ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
sapiens ^nns+++??+=sapiens)
) ^zz++++=EXTRAWORD
( ^zz++++=(Treisman,
treisman ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
new ^jj+atrb+++=new
species ^nns++++=species
after ^cs+sub+++=after
migrating ^nn++++=migrating
into ^in++++=into
Eurasia ^np+++??+=Eurasia
and ^cc++++=and
Australasia ^np+++??+=Australasia
approximately ^rb+down+++=approximately
100 ^cd++++=100-kya
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
( ^zz++++=(thousand
thousand ^cd++++=EXTRAWORD
years ^nns++++=years
ago ^rb++++=ago)
) ^zz++++=EXTRAWORD
replaced ^xvbn+++xvbn+=replaced
H ^zz++++=H.
. ^zz++++=EXTRAWORD
erectus ^nns+++??+=erectus
and ^cc++++=and
H ^zz++++=H.
. ^zz++++=EXTRAWORD
neanderthalensis ^nns+++??+=neanderthalensis
without ^in++++=without
inbreeding ^nn++++=inbreeding
or ^cc++++=or
hybridization ^nn+nom+++=hybridization
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
model ^nn++++=model,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
neanderthalensis ^vbz+++??+=neanderthalensis
evolved ^vbd+++xvbn+=evolved
outside ^in+cmpx+++=outside
of ^in"++++=of
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn+nom+++=evidence
from ^in++++=from
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model
comes ^vbz++++=comes
mostly ^rb++++=mostly
from ^in++++=from
genetic ^jj+atrb+++=genetic
analysis ^nn++++=analysis
of ^in++++=of
modern ^jj+atrb+++=modern
human ^jj+atrb+++=human
lineages ^nns+nom+++=lineages
and ^cc++++=and
limited ^jj+atrb++xvbn+=limited
fossil ^nn++++=fossil
evidence ^nn+nom+++=evidence
( ^zz++++=(Collard
collard ^nn+++??+=EXTRAWORD
& ^zz++++=&
Franchino ^np+++??+=Franchino,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Jorde ^np+++??+=Jorde
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recently ^rb+cnj+++=Recently,
, ^zz++++=EXTRAWORD
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
from ^in++++=from
H ^zz++++=H.
. ^zz++++=EXTRAWORD
neanderthalensis ^nns+++??+=neanderthalensis
and ^cc++++=and
Cro ^np+++??+=Cro-Magnon
- ^zz++++=EXTRAWORD
magnon ^nn+++??+=EXTRAWORD
man ^nn++++=man
( ^zz++++=(ancient
ancient ^jj+atrb+++=EXTRAWORD
presumed ^jj+++xvbn+=presumed
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
from ^in++++=from
around ^in++++=around
25 ^cd++++=25-kya)
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
further ^jjb++++=further
supports ^vbz++++=supports
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model
( ^zz++++=(Caramelli
caramelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Krings ^np+++??+=Krings
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Ovchinnikov ^np+++??+=Ovchinnikov
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
two ^cd++++=two
models ^nns++++=models
are ^vb+ber+aux++=are
graphically ^rb++splt++=graphically
represented ^vpsv++agls+xvbnx+=represented
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
single ^jj+atrb+++=single
line ^nn++++=line
from ^in++++=from
Africa ^np++++=Africa
in ^in++++=in
the ^ati++++=the
rightmost ^nn+++??+=rightmost
image ^nn++++=image
represents ^vbz++++=represents
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Sapiens ^np+++??+=Sapiens.
. ^zz++++=EXTRAWORD
Fig ^nn++++=Fig
1 ^zz++++=1:
: ^zz++++=EXTRAWORD
Multiregional ^np+nom++??+=Multiregional
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
Replacement ^nn+nom+++=Replacement
Model ^nn++++=Model
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002)
) ^zz++++=EXTRAWORD
Archeological ^np+++??+=ARCHEOLOGICAL
Multiregionalism ^np+nom++??+=MULTIREGIONALISM:
: ^zz++++=EXTRAWORD
The ^ati++++=The
thrust ^nn+++xvbn+=thrust
of ^in++++=of
the ^ati++++=the
evidence ^nn+nom+++=evidence
for ^in++++=for
the ^ati++++=the
Multiregional ^np+nom++??+=Multiregional
model ^nn++++=model
comes ^vbz++++=comes
from ^in+ppvb+++=from
comparisons ^nns++++=comparisons
of ^in++++=of
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
between ^in++++=between
all ^abn++++=all
known ^vbn+vprv++xvbn+=known
fossils ^nns++++=fossils
of ^in++++=of
the ^ati++++=the
last ^ap++++=last
2 ^zz++++=2
million ^cd++++=million
years ^nns++++=years
and ^cc++++=and
separate ^jj+atrb+++=separate
comparisons ^nns++++=comparisons
of ^in++++=of
their ^pp$+pp3+++=their
archeologically ^rb++++=archeologically
represented ^vbd+++xvbn+=represented
cultural ^jj+atrb+++=cultural
traits ^nns++++=traits
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
tool ^nn++++=tool
use ^nn++++=use
and ^cc++++=and
burial ^nn++++=burial
behaviors ^nns++++=behaviors
( ^zz++++=(Hawks
hawks ^nns+++??+=EXTRAWORD
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
John ^np++++=John
Hawks ^np+++??+=Hawks
and ^cc++++=and
Wolpoff ^np+++??+=Wolpoff
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
the ^ati++++=the
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
between ^in++++=between
the ^ati++++=the
presumed ^jj+++xvbn+=presumed
' ^zz++++='species'
species ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
insignificant ^jj+atrb+++=insignificant
variations ^nns+nom+++=variations
perhaps ^rb++++=perhaps
due ^jj++++=due
to ^in+jcmp+++=to
local ^jj+atrb+++=local
climatic ^jj+atrb+++=climatic
adaptation ^nn+nom+++=adaptation
and ^cc++++=and
have ^vb+hv+vrb++=have
not ^xnot++not++=not
isolated ^jj+++xvbn+=isolated
the ^ati++++=the
groups ^nns++++=groups
genetically ^rb++++=genetically
( ^zz++++=(Hawks
hawks ^nns+++??+=EXTRAWORD
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
content ^nn++++=content
that ^tht+rel+obj++=that
these ^dt+dem+++=these
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
are ^vb+ber+vrb++=are
not ^xnot++not++=not
large ^jj++++=large
enough ^dt++++=enough
to ^in++++=to
advance ^nn+nom+++=advance
a ^at++++=a
species ^nn++++=species
difference ^nn+nom+++=difference
between ^in++++=between
any ^dti++++=any
hominid ^nn+++??+=hominid
fossil ^nn++++=fossil
since ^in++++=since
the ^ati++++=the
emergence ^nn+nom+++=emergence
H ^zz++++=H.
. ^zz++++=EXTRAWORD
erectus ^nns+++??+=erectus
( ^zz++++=(Hawks
hawks ^nns+++??+=EXTRAWORD
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
review ^nn++++=review
of ^in++++=of
one ^cd1++++=one
recent ^jj+atrb+++=recent
research ^nn++++=research
endeavor ^nn++++=endeavor
concerning ^in++++=concerning
H ^zz++++=H.
. ^zz++++=EXTRAWORD
neanderthalensis ^nns+++??+=neanderthalensis
and ^cc++++=and
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
will ^md+prd+++=will
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
the ^ati++++=the
conclusions ^nns++++=conclusions
about ^in++++=about
morphological ^jj+atrb+++=morphological
differences ^nns+nom+++=differences
are ^vb+ber+vrb++=are
not ^xnot++not++=not
well ^jj+pred+++=well
founded ^vbd+++xvbn+=founded,
, ^zz++++=EXTRAWORD
thereby ^rb+cnj+++=thereby,
, ^zz++++=EXTRAWORD
discrediting ^jj+++xvbg+=discrediting
some ^dti++++=some
claims ^vbz+vpub+++=claims
held ^vpsv++by+xvbn+=held
by ^in++++=by
the ^ati++++=the
multiregionalists ^nns+nom+++=multiregionalists
( ^zz++++=(Collard
collard ^nn+++??+=EXTRAWORD
& ^zz++++=&
Franchino ^np+++??+=Franchino,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Kramer ^np+++??+=Kramer,
, ^zz++++=EXTRAWORD
Crummett ^np+++??+=Crummett,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
recent ^jj+atrb+++=recent
study ^nn++++=study,
, ^zz++++=EXTRAWORD
done ^xvbn+++xvbn+=done
by ^in++++=by
Andrew ^np++++=Andrew
Kramer ^np+++??+=Kramer,
, ^zz++++=EXTRAWORD
claims ^vb++++=claims
to ^to+vcmp+++=to
support ^vbi++++=support
Wolpoff ^np++++=Wolpoff's
's ^$++++=EXTRAWORD
contention ^nn+nom+++=contention
that ^tht+ncmp+++=that
H ^zz++++=H.
. ^zz++++=EXTRAWORD
neanderthalensis ^vbz+++??+=neanderthalensis
does ^vbz+doz+aux++=does
not ^xnot++not++=not
form ^vb++++=form
a ^at++++=a
separate ^nn+nom+++=separate
species ^nns++++=species.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
analyzes ^nns+++??+=analyzes
differences ^nns+nom+++=differences
in ^in++++=in
cranial ^jj+atrb+++=cranial
features ^nns++++=features
between ^in++++=between
presumed ^vbd+vprv++xvbn+=presumed
H ^zz++++=H.
. ^zz++++=EXTRAWORD
neanderthalensis ^nns+++??+=neanderthalensis
and ^cc++++=and
anatomically ^rb++++=anatomically
modern ^jj+atrb+++=modern
humans ^nns++++=humans
( ^zz++++=(H.
h ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sapiens ^np+++??+=Sapiens),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
both ^abx++++=both
found ^vbd+vprv++xvbn+=found
in ^in++++=in
the ^ati++++=the
Levant ^np+++??+=Levant
region ^nn++++=region
( ^zz++++=(Kramer
kramer ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
region ^nn++++=region
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
central ^jj+atrb+++=central
hub ^nn++++=hub
of ^in++++=of
migrations ^nns+nom+++=migrations
between ^in++++=between
Eurasia ^np+++??+=Eurasia
and ^cc++++=and
Africa ^np++++=Africa
( ^zz++++=(Walter
walter ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
pairwise ^rb++++=pairwise
analysis ^nn++++=analysis
differences ^nns+nom+++=differences
of ^in++++=of
six ^cd++++=six
fossils ^nns++++=fossils
presumed ^vwbn+vprv++xvbn+=presumed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
anatomically ^rb++++=anatomically
modern ^jj+atrb+++=modern
humans ^nns++++=humans
( ^zz++++=(Skhul
skhul ^nn+++??+=EXTRAWORD
