<CorIFA-UFMG-B1.Ind.E.Abs.2016-2.0921.0520>
<Abstract>
Currently ^rb++++=Currently
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
propose ^vb++++=propose
a ^at++++=a
methodology ^nn++++=methodology
to ^to++++=to
collect ^vbi++++=collect
and ^cc++++=and
analyze ^nn+++??+=analyze
images ^nns++++=images
from ^in++++=from
search ^nn++++=search
engines ^nns++++=engines
to ^to++++=to
understand ^vbi+vprv+++=understand
how ^wrb+who+whcl++=how
race ^nn++++=race
and ^cc++++=and
age ^nn++++=age
are ^vb+ber+aux++=are
used ^vpsv++++=used
to ^to++++=to
classify ^vb++++=classify
the ^ati++++=the
stereotypes ^nns+++??+=stereotypes
in ^in++++=in
many ^ap++++=many
countries ^nns++++=countries
and ^cc++++=and
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
show ^vb+vprv+++=show
in ^in++++=in
our ^pp$+pp1+++=our
search ^nn++++=search
that ^tht+rel+++=that
many ^ap++++=many
stereotypes ^vbz+++??+=stereotypes
related ^vbd+++xvbn+=related
with ^in++++=with
a ^at++++=a
female ^jj+atrb+++=female
physical ^jj+atrb+++=physical
attractiveness ^nns+++??+=attractiveness,
, ^zz++++=EXTRAWORD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
race ^nn++++=race
and ^cc++++=and
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
identified ^vbd+++xvbn+=identified
common ^jj+atrb+++=common
patterns ^nns++++=patterns
of ^in++++=of
stereotypes ^nns+++??+=stereotypes
to ^in++++=to
groups ^nns++++=groups
of ^in++++=of
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Thereby ^rb+cnj+++=Thereby,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
concluded ^vbd+vprv++xvbn+=concluded
that ^tht+vcmp+++=that
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
sought ^xvbn+++xvbn+=sought
images ^nns++++=images
on ^in++++=on
the ^ati++++=the
search ^nn++++=search
engines ^nns++++=engines
should ^md+nec+++=should
be ^vb+be+vrb++=be
more ^rbr++++=more
impartial ^jj+pred+++=impartial
on ^in++++=on
the ^ati++++=the
result ^nn++++=result
displayed ^vbd+++xvbn+=displayed,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
search ^nn++++=search
engines ^nns++++=engines
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
important ^jj+atrb+++=important
sources ^nns++++=sources
of ^in++++=of
information ^nn++++=information
and ^cc++++=and
can ^md+pos+++=can
not ^xnot++not++=not
stimulate ^vb++++=stimulate
prejudice ^nn++++=prejudice.
. ^zz++++=EXTRAWORD
